,querySample,expectedElectivesInOrder,expectedElectivesInOrderSumWordCount,queryType
10,"digitalisation, skill, long, technology, aviation","['40.302 Advanced Optim/ 40.305 Advanced Stochastic', '50.037 Blockchain Technology', ' 50.035 Computer Vision', '40.321 Airport Systems Modelling and Simulation', '50.007 Machine Learning', '40.320 Airport Systems Planning and Design', '50.021 Artificial Intelligence', '40.318 Supply Chain Digitalisation and Design', '40.324 Fundamentals of Investing', '50.039 Theory and Practice of Deep Learning']","[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1
11,"r, hidden, artificial, schedule, simulate","['40.302 Advanced Optim/ 40.305 Advanced Stochastic', '50.007 Machine Learning', '50.021 Artificial Intelligence', '50.046 Cloud Computing and Internet of Things', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.316 Game Theory', '40.317 Financial Systems Design', '40.318 Supply Chain Digitalisation and Design', '40.319 Statistical and Machine Learning']","[3.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
12,"optimisation, decision, risk, aws, jupyter","['50.043 Database Systems / Database and Big Data Systems (for class 2021)', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '50.039 Theory and Practice of Deep Learning', '40.323 Equity Valuation', '50.046 Cloud Computing and Internet of Things', '50.006 User Interface Design and Implementation', '40.242 Derivative Pricing and Risk Management', '40.316 Game Theory', '40.317 Financial Systems Design']","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
13,"decentralizedapp, equity, math, ethereum, technology","['50.037 Blockchain Technology', '40.323 Equity Valuation', '50.039 Theory and Practice of Deep Learning', '50.007 Machine Learning', '40.319 Statistical and Machine Learning', '50.021 Artificial Intelligence', ' 50.035 Computer Vision', '40.324 Fundamentals of Investing', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '40.317 Financial Systems Design']","[3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",1
14,"financial, value, metric, optimize, analysis","['40.324 Fundamentals of Investing', '40.316 Game Theory', '40.323 Equity Valuation', '50.007 Machine Learning', '50.021 Artificial Intelligence', '40.318 Supply Chain Digitalisation and Design', ' 50.035 Computer Vision', '50.037 Blockchain Technology', '50.039 Theory and Practice of Deep Learning', '50.043 Database Systems / Database and Big Data Systems (for class 2021)']","[2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1
15,"risk, certain, computational, approach, c","['40.316 Game Theory', '50.017 Graphics and Visualisation', '50.038 Computational Data Science', '40.323 Equity Valuation', '50.007 Machine Learning', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.317 Financial Systems Design', '40.318 Supply Chain Digitalisation and Design']","[2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
16,"markov, supply, hidden, computational, payoff","['50.007 Machine Learning', '40.260 Supply Chain Management', '40.316 Game Theory', '50.038 Computational Data Science', '50.046 Cloud Computing and Internet of Things', '40.242 Derivative Pricing and Risk Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.317 Financial Systems Design', '40.318 Supply Chain Digitalisation and Design', '40.319 Statistical and Machine Learning']","[2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
17,"finance, value, long, average, business","['40.316 Game Theory', '40.319 Statistical and Machine Learning', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '50.021 Artificial Intelligence', '50.038 Computational Data Science', '50.007 Machine Learning', '50.017 Graphics and Visualisation', '40.260 Supply Chain Management', '40.318 Supply Chain Digitalisation and Design', '40.323 Equity Valuation']","[7.0, 5.0, 4.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0]",1
18,"financial, spark, science, focus, search","['50.043 Database Systems / Database and Big Data Systems (for class 2021)', '50.021 Artificial Intelligence', '50.037 Blockchain Technology', '50.039 Theory and Practice of Deep Learning', '50.007 Machine Learning', ' 50.035 Computer Vision', '50.038 Computational Data Science', '40.324 Fundamentals of Investing', '40.316 Game Theory', '40.321 Airport Systems Modelling and Simulation']","[2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1
19,"supply, notebook, fundamental, know, basic","['40.260 Supply Chain Management', '40.240 Investment Science', '40.317 Financial Systems Design', '50.039 Theory and Practice of Deep Learning', '40.319 Statistical and Machine Learning', '50.007 Machine Learning', '40.242 Derivative Pricing and Risk Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.316 Game Theory', '40.318 Supply Chain Digitalisation and Design']","[2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
20,"r, linear, ethereum, c, machine","['40.319 Statistical and Machine Learning', '50.017 Graphics and Visualisation', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '50.038 Computational Data Science', '50.037 Blockchain Technology', '50.007 Machine Learning', '50.006 User Interface Design and Implementation', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.316 Game Theory']","[3.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",1
21,"science, future, problem, demand, pytorch","['50.039 Theory and Practice of Deep Learning', '40.319 Statistical and Machine Learning', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.316 Game Theory', '50.038 Computational Data Science', '50.021 Artificial Intelligence', '50.045 Information Retrieval', '50.046 Cloud Computing and Internet of Things', '40.324 Fundamentals of Investing']","[2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1
22,"r, ec, kera, opponent, model","['50.043 Database Systems / Database and Big Data Systems (for class 2021)', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.316 Game Theory', '50.038 Computational Data Science', ' 50.035 Computer Vision', '40.319 Statistical and Machine Learning', '50.007 Machine Learning', '50.046 Cloud Computing and Internet of Things', '40.324 Fundamentals of Investing', '40.242 Derivative Pricing and Risk Management']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",1
23,"markov, descent, algebra, math, research","['40.316 Game Theory', '40.319 Statistical and Machine Learning', '50.007 Machine Learning', '50.021 Artificial Intelligence', '50.017 Graphics and Visualisation', '50.038 Computational Data Science', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.318 Supply Chain Digitalisation and Design', ' 50.035 Computer Vision', '40.260 Supply Chain Management']","[7.0, 6.0, 5.0, 3.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0]",1
24,"clojurescript, ai, analysis, background, science","['50.043 Database Systems / Database and Big Data Systems (for class 2021)', ' 50.035 Computer Vision', '50.007 Machine Learning', '50.039 Theory and Practice of Deep Learning', '50.038 Computational Data Science', '50.021 Artificial Intelligence', '50.037 Blockchain Technology', '40.324 Fundamentals of Investing', '50.045 Information Retrieval', '40.318 Supply Chain Digitalisation and Design']","[3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0]",1
25,"optimisation, opencv, risk, chain, urban","['40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.316 Game Theory', '40.320 Airport Systems Planning and Design', ' 50.035 Computer Vision', '40.321 Airport Systems Modelling and Simulation', '40.323 Equity Valuation', '50.046 Cloud Computing and Internet of Things', '50.007 Machine Learning', '40.242 Derivative Pricing and Risk Management']","[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",1
26,"maing, descent, science, clojurescript, knowledge","['50.043 Database Systems / Database and Big Data Systems (for class 2021)', '40.260 Supply Chain Management', '50.038 Computational Data Science', '40.320 Airport Systems Planning and Design', '50.007 Machine Learning', '50.046 Cloud Computing and Internet of Things', '50.006 User Interface Design and Implementation', '40.242 Derivative Pricing and Risk Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.316 Game Theory']","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
27,"schedule, gradient, airport, analysis, system","['40.316 Game Theory', '40.320 Airport Systems Planning and Design', '50.007 Machine Learning', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.318 Supply Chain Digitalisation and Design', '40.321 Airport Systems Modelling and Simulation', '50.046 Cloud Computing and Internet of Things', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.317 Financial Systems Design']","[2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",1
28,"logistics, business, strategy, analytics, math","['40.316 Game Theory', '40.319 Statistical and Machine Learning', '50.021 Artificial Intelligence', '50.038 Computational Data Science', '50.007 Machine Learning', '50.045 Information Retrieval', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', ' 50.035 Computer Vision', '40.318 Supply Chain Digitalisation and Design']","[10.0, 8.0, 5.0, 3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0]",1
29,"program, future, kera, ec, concept","['40.240 Investment Science', '40.242 Derivative Pricing and Risk Management', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '50.038 Computational Data Science', '50.037 Blockchain Technology', ' 50.035 Computer Vision', '40.319 Statistical and Machine Learning', '40.324 Fundamentals of Investing', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",1
