,df
invalidate,1
inventory,2
invest,1
investigate,1
investment,3
investor,2
invite,2
involve,4
iot,2
ip,1
iptv,1
ir,1
issue,3
item,1
iteration,1
iv,1
javascript,1
job,1
judged,1
kalman,1
kera,1
kernel,1
key,11
kinematic,1
kiosk,1
know,3
knowledge,6
lab,2
label,1
laboratory,2
land,1
landside,2
language,5
large,1
laser,1
late,2
latent,2
layer,5
lead,2
learn,21
learnt,2
ledger,1
letter,1
level,10
leverage,1
library,3
life,5
like,3
limitation,3
limited,1
linear,5
link,2
list,8
little,1
lo,5
load,1
loader,1
local,1
localization,1
location,1
log,1
logic,1
logistic,2
logistics,1
long,4
loss,1
lpwan,1
lstm,1
machine,6
main,2
mainly,1
maintain,2
maintenance,1
major,6
make,6
manage,6
management,8
managerial,1
manufacturing,3
mapping,1
mapreduce,2
market,3
markov,1
martingale,1
massively,1
master,2
mastery,2
material,2
math,1
mathematical,7
mathematically,4
matlab,2
matrix,1
mature,1
maximization,1
maximize,1
mean,3
meaning,2
measure,1
measurement,1
mechanic,2
mechanism,1
medical,1
medicine,1
medium,2
member,1
memory,1
mentor,1
merit,2
merton,1
method,16
methodology,5
metric,3
million,1
mindset,1
mini,1
minimum,1
mitigate,2
mixed,1
mixture,1
mobile,2
modal,1
modality,1
mode,1
model,28
moderate,2
moderately,1
modern,7
module,2
momentum,1
monitoring,1
monte,2
motion,2
movement,1
movie,1
mqtt,1
multi,5
multicast,1
multimodal,1
multiple,3
museum,1
nakamoto,1
name,1
nation,1
natural,2
naïve,1
necessary,2
necessitates,1
need,3
net,1
network,20
networked,4
networking,2
neural,8
neuron,2
neuronal,1
neutral,2
new,4
nlp,1
nns,1
no,1
noise,1
non,2
normal,1
normalization,2
note,1
nova,1
novel,2
number,2
numerical,4
numerically,1
numerous,1
object,1
objective,4
observation,1
observe,2
ode,2
of,2
offer,2
offering,1
officer,1
one,1
opencv,1
opengl,1
operate,1
operation,10
operational,1
operator,1
opportunity,4
optimal,5
optimality,1
optimisation,3
optimise,1
optimization,8
optimize,1
optimizers,1
option,2
oral,1
orally,2
orchestration,1
order,2
organisation,1
organization,1
organizational,1
outcome,2
output,3
overall,2
overcome,2
overfitting,1
overlap,1
overview,1
pace,1
packet,2
pads,1
page,1
pair,1
paper,1
paradigm,1
parallel,2
parameter,7
parse,1
partial,1
participate,2
particle,1
particular,4
particularly,1
partition,1
partner,1
passenger,3
password,1
path,1
patient,1
pattern,1
payment,1
pde,1
pdes,1
perceives,1
perform,5
performance,13
permit,1
personal,1
personalize,1
perspective,2
persuasive,1
phase,1
physic,1
physical,3
pipe,1
pipeline,1
pitch,2
place,1
plaintext,1
planner,1
planning,7
platform,5
play,3
point,2
policy,4
pool,1
popularity,1
portfolio,3
pose,2
possible,4
potential,3
power,1
powerful,1
powertrains,1
practical,6
practice,6
pre,1
predict,3
prediction,4
predictor,1
preferable,1
prepared,2
preprocessing,1
presence,1
present,7
presentation,1
preserve,1
pressure,1
prevent,1
prevention,1
price,6
pricing,5
primary,3
primitive,1
principle,14
print,1
printing,1
prioritize,1
privacy,1
probabilistic,2
probability,2
problem,24
procedural,1
process,12
processing,5
procurement,1
produce,2
product,2
production,2
professional,2
proficiency,2
proficient,1
program,9
project,17
promise,2
proof,2
propagation,1
proper,2
properly,1
property,2
proposal,1
propose,2
propositional,1
propulsion,1
protect,1
protocol,5
prototype,1
prototyping,1
prove,1
provide,13
provision,1
public,2
purpose,1
python,2
pytorch,2
quality,1
query,2
question,2
quickly,1
quiz,1
rail,1
random,1
range,2
rank,1
rapid,2
rasterization,1
rate,5
rationale,1
ray,1
rdbms,1
readily,1
reading,1
real,17
realism,1
reality,1
realization,1
realize,1
reason,5
reasonable,1
recall,1
recent,1
recently,1
recognition,2
recognize,6
recommend,2
recommendation,1
record,2
recover,1
recovery,1
recurrent,3
reduces,1
reduction,2
reference,1
refine,1
refinement,1
regression,2
regularization,1
regularize,1
reinforcement,3
relate,1
related,4
relation,1
relational,1
relationship,1
relevant,4
reliable,1
render,1
renewable,1
renewal,1
report,3
repository,1
represent,1
representation,5
reputation,1
require,6
requirement,6
research,4
researcher,1
residual,1
resistant,1
resource,2
respect,2
respond,1
response,2
retell,1
retrieval,2
return,3
revenue,1
revolutionize,1
rich,1
ring,1
risk,4
risky,1
river,1
rmsprop,1
rnn,1
road,1
roadmap,1
robotics,1
role,3
rotation,1
rout,1
route,1
ruby,1
rule,1
run,4
runnable,1
safety,1
sample,2
satisfaction,1
say,1
scale,2
scan,1
scenario,2
schedule,1
scheme,1
scholes,1
science,2
scientist,1
scope,1
scratch,4
search,2
second,1
secret,1
sector,1
secure,4
securely,1
security,6
segmentation,1
select,2
selection,3
semantic,1
semester,2
semi,1
send,1
sense,1
sensitive,1
sensor,1
sensory,1
sentiment,1
sequence,2
sequential,1
series,3
server,2
service,7
set,5
setting,2
setup,2
shade,1
shadow,1
share,2
short,1
shortage,1
shortest,1
signature,1
significance,1
similar,1
simple,6
simplify,1
simulate,1
simulates,1
simulation,6
simulink,1
simulinkstateflow,1
simultaneously,1
singapore,1
size,1
sketch,2
sketchingpresentation,1
skill,8
skillset,1
sklearn,1
small,1
smart,3
smile,1
sniff,1
social,2
societal,1
society,1
socio,2
socket,1
software,9
solid,1
solution,11
solve,15
solver,1
solves,1
sound,1
source,1
space,4
span,1
spark,2
spatial,1
speaker,2
special,1
specialized,1
specific,3
specify,1
speech,1
spline,1
spot,1
spreadsheet,2
sql,1
stack,1
stage,1
stake,2
stakeholder,2
standard,5
start,4
state,7
stateflow,1
statistical,4
step,1
stepsize,1
stepsizes,1
stimulus,1
stochastic,3
stochasticmini,1
stock,2
storage,2
store,1
straddle,1
strategic,2
strategy,5
strength,3
strong,2
structure,7
student,27
studio,1
study,6
subject,1
subsequently,1
subset,1
substitution,1
success,1
successful,5
successfully,3
suitability,1
suitable,4
summarization,1
summarize,1
supervise,4
supervisory,1
supply,4
support,5
sustainability,1
sustainable,2
sutd,1
svms,2
switch,1
symbolic,1
symmetric,1
syntactic,1
synthesize,2
system,26
systematic,1
taam,1
tableau,1
tackle,3
tag,1
tailor,1
take,1
tamper,1
target,2
task,5
taught,1
tcp,1
tcpip,2
teach,1
team,2
technical,3
technique,17
technologiestools,1
technology,16
telehealth,1
temporal,1
tensorflow,1
term,10
terminology,2
test,7
text,4
textual,1
texture,1
the,2
theme,1
theoretic,1
theoretical,2
theory,9
therapeutic,1
thereof,1
thesis,1
thing,1
think,2
thread,1
threat,2
throughput,1
tight,1
time,9
today,3
token,1
tool,19
toolbox,3
toolstechnologies,1
topic,20
topology,2
touch,1
trace,1
tractability,1
trade,1
tradeoff,3
trading,4
traffic,3
train,3
training,3
traintest,1
transaction,2
transfer,1
transform,1
transformation,1
translate,1
translation,2
transportation,3
travel,1
treatment,2
trillion,1
trip,1
tripartite,1
truth,1
tune,2
type,2
typical,1
ultimately,1
ultra,1
uncertain,1
uncertainty,3
uncover,1
undergraduate,2
underlie,5
understand,20
undertaken,1
unified,1
unit,3
unstructured,1
unsupervised,3
up,1
update,1
ups,1
upstream,1
urban,2
usability,1
usable,2
usage,3
use,22
useful,4
usefully,1
user,5
utility,1
utilization,1
utilize,1
utilized,1
valid,1
validate,2
validation,2
valuation,3
value,6
variable,2
variance,2
variety,6
vector,3
vehicle,2
velocity,1
verification,1
version,1
vi,1
video,3
view,2
violation,1
virtual,2
virtualization,1
vision,2
visualise,1
volatility,1
vr,1
vulnerable,3
want,1
water,1
way,4
weakness,2
web,2
website,1
weekly,2
weight,2
weka,1
wholesale,1
widely,1
wifi,1
window,1
wireless,2
word,2
wordvec,1
work,7
world,9
write,4
xl,1
year,1
zigbee,1
